home_team_ru;home_slug;away_team_ru;away_slug;distance_km
Авангард;avangard;Автомобилист;avtomobilist;821.9
Авангард;avangard;Адмирал;admiral;4319.6
Авангард;avangard;Ак Барс;ak_bars;1526.4
Авангард;avangard;Амур;amur;4168.7
Авангард;avangard;Барыс;barys;453.3
Авангард;avangard;Динамо М;dynamo_msk;2237.9
Авангард;avangard;Динамо Мн;dinamo_mn;2913.8
Авангард;avangard;Лада;lada;1557.7
Авангард;avangard;Локомотив;lokomotiv;2063.4
Авангард;avangard;Металлург Мг;metallurg_mg;947.8
Авангард;avangard;Нефтехимик;neftekhimik;1360.6
Авангард;avangard;Северсталь;severstal;2164.1
Авангард;avangard;Сибирь;sibir;609.7
Авангард;avangard;СКА;ska;2579.1
Авангард;avangard;ХК Сочи;hc_sochi;2712.5
Авангард;avangard;Спартак;spartak;2244.3
Авангард;avangard;Салават Юлаев;salavat_yulaev;1111.7
Авангард;avangard;Торпедо;torpedo;1833.8
Авангард;avangard;Трактор;traktor;758.8
Авангард;avangard;ЦСКА;cska;2234.3
Авангард;avangard;Драконы;kunlun;2579.1
Автомобилист;avtomobilist;Авангард;avangard;821.9
Автомобилист;avtomobilist;Адмирал;admiral;5062.5
Автомобилист;avtomobilist;Ак Барс;ak_bars;714.8
Автомобилист;avtomobilist;Амур;amur;4853.4
Автомобилист;avtomobilist;Барыс;barys;951.5
Автомобилист;avtomobilist;Динамо М;dynamo_msk;1417.4
Автомобилист;avtomobilist;Динамо Мн;dinamo_mn;2093.3
Автомобилист;avtomobilist;Лада;lada;797.1
Автомобилист;avtomobilist;Локомотив;lokomotiv;1242.6
Автомобилист;avtomobilist;Металлург Мг;metallurg_mg;391.6
Автомобилист;avtomobilist;Нефтехимик;neftekhimik;557.3
Автомобилист;avtomobilist;Северсталь;severstal;1352.3
Автомобилист;avtomobilist;Сибирь;sibir;1400.7
Автомобилист;avtomobilist;СКА;ska;1775.2
Автомобилист;avtomobilist;ХК Сочи;hc_sochi;2079.7
Автомобилист;avtomobilist;Спартак;spartak;1423.6
Автомобилист;avtomobilist;Салават Юлаев;salavat_yulaev;370.9
Автомобилист;avtomobilist;Торпедо;torpedo;1013.9
Автомобилист;avtomobilist;Трактор;traktor;195.0
Автомобилист;avtomobilist;ЦСКА;cska;1414.0
Автомобилист;avtomobilist;Драконы;kunlun;1775.2
Адмирал;admiral;Авангард;avangard;4319.6
Адмирал;admiral;Автомобилист;avtomobilist;5062.5
Адмирал;admiral;Ак Барс;ak_bars;5766.7
Адмирал;admiral;Амур;amur;630.7
Адмирал;admiral;Барыс;barys;4528.2
Адмирал;admiral;Динамо М;dynamo_msk;6411.0
Адмирал;admiral;Динамо Мн;dinamo_mn;7059.0
Адмирал;admiral;Лада;lada;5852.9
Адмирал;admiral;Локомотив;lokomotiv;6185.7
Адмирал;admiral;Металлург Мг;metallurg_mg;5266.4
Адмирал;admiral;Нефтехимик;neftekhimik;5618.2
Адмирал;admiral;Северсталь;severstal;6208.2
Адмирал;admiral;Сибирь;sibir;3711.0
Адмирал;admiral;СКА;ska;6530.6
Адмирал;admiral;ХК Сочи;hc_sochi;7018.9
Адмирал;admiral;Спартак;spartak;6415.6
Адмирал;admiral;Салават Юлаев;salavat_yulaev;5406.9
Адмирал;admiral;Торпедо;torpedo;6031.4
Адмирал;admiral;Трактор;traktor;5059.5
Адмирал;admiral;ЦСКА;cska;6410.7
Адмирал;admiral;Драконы;kunlun;6530.6
Ак Барс;ak_bars;Авангард;avangard;1526.4
Ак Барс;ak_bars;Автомобилист;avtomobilist;714.8
Ак Барс;ak_bars;Адмирал;admiral;5766.7
Ак Барс;ak_bars;Амур;amur;5536.6
Ак Барс;ak_bars;Барыс;barys;1558.6
Ак Барс;ak_bars;Динамо М;dynamo_msk;720.8
Ак Барс;ak_bars;Динамо Мн;dinamo_mn;1392.8
Ак Барс;ak_bars;Лада;lada;253.1
Ак Барс;ak_bars;Локомотив;lokomotiv;596.6
Ак Барс;ak_bars;Металлург Мг;metallurg_mg;690.3
Ак Барс;ak_bars;Нефтехимик;neftekhimik;170.4
Ак Барс;ak_bars;Северсталь;severstal;761.4
Ак Барс;ak_bars;Сибирь;sibir;2114.9
Ак Барс;ak_bars;СКА;ska;1188.2
Ак Барс;ak_bars;ХК Сочи;hc_sochi;1527.4
Ак Барс;ak_bars;Спартак;spartak;727.7
Ак Барс;ak_bars;Салават Юлаев;salavat_yulaev;450.1
Ак Барс;ak_bars;Торпедо;torpedo;321.4
Ак Барс;ak_bars;Трактор;traktor;779.5
Ак Барс;ak_bars;ЦСКА;cska;715.9
Ак Барс;ak_bars;Драконы;kunlun;1188.2
Амур;amur;Авангард;avangard;4168.7
Амур;amur;Автомобилист;avtomobilist;4853.4
Амур;amur;Адмирал;admiral;630.7
Амур;amur;Ак Барс;ak_bars;5536.6
Амур;amur;Барыс;barys;4436.5
Амур;amur;Динамо М;dynamo_msk;6140.4
Амур;amur;Динамо Мн;dinamo_mn;6765.2
Амур;amur;Лада;lada;5650.6
Амур;amur;Локомотив;lokomotiv;5904.7
Амур;amur;Металлург Мг;metallurg_mg;5099.7
Амур;amur;Нефтехимик;neftekhimik;5399.3
Амур;amur;Северсталь;severstal;5905.5
Амур;amur;Сибирь;sibir;3574.4
Амур;amur;СКА;ska;6196.6
Амур;amur;ХК Сочи;hc_sochi;6880.0
Амур;amur;Спартак;spartak;6144.4
Амур;amur;Салават Юлаев;salavat_yulaev;5212.8
Амур;amur;Торпедо;torpedo;5778.5
Амур;amur;Трактор;traktor;4876.5
Амур;amur;ЦСКА;cska;6141.3
Амур;amur;Драконы;kunlun;6196.6
Барыс;barys;Авангард;avangard;453.3
Барыс;barys;Автомобилист;avtomobilist;951.5
Барыс;barys;Адмирал;admiral;4528.2
Барыс;barys;Ак Барс;ak_bars;1558.6
Барыс;barys;Амур;amur;4436.5
Барыс;barys;Динамо М;dynamo_msk;2276.8
Барыс;barys;Динамо Мн;dinamo_mn;2939.9
Барыс;barys;Лада;lada;1514.7
Барыс;barys;Локомотив;lokomotiv;2143.6
Барыс;barys;Металлург Мг;metallurg_mg;880.7
Барыс;barys;Нефтехимик;neftekhimik;1388.8
Барыс;barys;Северсталь;severstal;2278.3
Барыс;barys;Сибирь;sibir;885.6
Барыс;barys;СКА;ska;2707.7
Барыс;barys;ХК Сочи;hc_sochi;2499.9
Барыс;barys;Спартак;spartak;2283.9
Барыс;barys;Салават Юлаев;salavat_yulaev;1109.0
Барыс;barys;Торпедо;torpedo;1879.9
Барыс;barys;Трактор;traktor;802.1
Барыс;barys;ЦСКА;cska;2271.1
Барыс;barys;Драконы;kunlun;2707.7
Динамо М;dynamo_msk;Авангард;avangard;2237.9
Динамо М;dynamo_msk;Автомобилист;avtomobilist;1417.4
Динамо М;dynamo_msk;Адмирал;admiral;6411.0
